,year,GS_mean,moving_avg,team
91,1986,13.636363636363637,13.829545454545457,buf
92,1987,10.954545454545457,13.056818181818182,buf
93,1988,14.545454545454543,13.15909090909091,buf
94,1989,14.590909090909092,13.431818181818183,buf
95,1990,14.454545454545457,13.636363636363637,buf
96,1991,14.318181818181818,14.477272727272728,buf
97,1992,14.272727272727272,14.40909090909091,buf
98,1993,14.227272727272728,14.318181818181817,buf
99,1994,14.5,14.329545454545451,buf
100,1995,13.545454545454543,14.136363636363637,buf
101,1996,14.227272727272728,14.124999999999998,buf
102,1997,14.227272727272728,14.124999999999998,buf
103,1998,14.318181818181818,14.079545454545457,buf
104,1999,14.227272727272728,14.25,buf
105,2000,13.318181818181818,14.022727272727272,buf
106,2001,13.227272727272728,13.772727272727272,buf
107,2002,14.772727272727272,13.886363636363637,buf
108,2003,14.227272727272728,13.886363636363637,buf
109,2004,13.636363636363637,13.96590909090909,buf
110,2005,13.818181818181818,14.113636363636363,buf
111,2006,13.954545454545457,13.909090909090908,buf
112,2007,14.0,13.852272727272728,buf
113,2008,13.5,13.818181818181818,buf
114,2009,11.818181818181818,13.318181818181818,buf
115,2010,12.772727272727272,13.022727272727272,buf
116,2011,12.136363636363637,12.556818181818183,buf
117,2012,13.318181818181818,12.511363636363637,buf
118,2013,13.136363636363637,12.840909090909092,buf
119,2014,13.227272727272728,12.954545454545457,buf
120,2015,13.045454545454543,13.181818181818183,buf
121,2016,12.954545454545457,13.090909090909092,buf
122,2017,12.818181818181818,13.011363636363637,buf
123,2018,12.727272727272728,12.886363636363637,buf
124,2019,13.863636363636363,13.09090909090909,buf
125,2020,12.545454545454543,12.988636363636363,buf
126,2021,14.5,13.40909090909091,buf
127,2022,13.636363636363637,13.636363636363637,buf
128,2023,14.681818181818182,13.84090909090909,buf
129,2024,14.181818181818182,14.25,buf
130,1960,,,car
131,1961,,,car
132,1962,,,car
133,1963,,,car
134,1964,,,car
135,1965,,,car
136,1966,,,car
137,1967,,,car
138,1968,,,car
139,1969,,,car
140,1970,,,car
141,1971,,,car
142,1972,,,car
143,1973,,,car
144,1974,,,car
145,1975,,,car
146,1976,,,car
147,1977,,,car
148,1978,,,car
149,1979,,,car
150,1980,,,car
151,1981,,,car
152,1982,,,car
153,1983,,,car
154,1984,,,car
155,1985,,,car
156,1986,,,car
157,1987,,,car
158,1988,,,car
159,1989,,,car
160,1990,,,car
161,1991,,,car
162,1992,,,car
163,1993,,,car
164,1994,,,car
165,1995,13.909090909090908,13.909090909090908,car
166,1996,13.454545454545457,13.681818181818182,car
167,1997,13.363636363636363,13.575757575757576,car
168,1998,13.045454545454543,13.443181818181818,car
169,1999,14.545454545454543,13.602272727272728,car
